day,count
5,618
10,187
14,718
20,1032
1,256
6,530
21,944
9,163
13,547
2,274
17,290
12,649
7,1108
3,399
18,513
16,568
11,343
8,594
19,940
4,374
15,1022
24,192
25,495
22,988
27,399
26,774
23,307
