usuario,seguidores,seguidos,tweets,retweets
FCD_Ecuador,4766,2457,0,2
ucomur,3976,4886,0,4
GemaPrezPinto,107,148,0,1
oeg_upm,1051,144,0,1
PactoGlobalPERU,885,391,0,1
Trump123Maria,39,204,0,1
JaimeJtorres,65,175,0,2
HaydeeDomic,463,468,0,1
quameorg,945,973,0,1
JosDegollado,4,39,0,1
franciscopolo,22639,4112,0,1
jfllinas,402,538,0,1
SocEnterpriseES,1383,1330,4,3
Barrio_Yungay,27934,1550,0,1
pedroamerico13,337,203,0,2
ReconstruYo_Ec,4155,309,0,3
Admon_GobOax,9613,242,0,1
FuturoMiguel,206,1148,0,2
cimesalvador,993,2467,0,1
e_cura,2103,1055,0,1
albert_fabregat,187,477,1,1
CharlieNuclear,208,124,1,2
ptws1969,2343,4998,0,1
UNAM_PINCC,2389,272,0,1
PabloZoido,840,1392,0,2
Cachovillarreal,36,106,0,1
joyyances,227,905,0,1
AnnyGag,960,1602,0,1
Cotec_Innova,37921,1592,0,1
Amparo_Medina,16516,6226,0,1
_enriquelb,188,133,0,1
NetClubj1,1863,5062,0,1
SostenibleRSC,117,184,1,0
Guiller32230245,9,193,0,1
stevenbcn,100,209,0,1
FBiodiversidad,62647,456,1,0
fuenyemo,86,183,0,1
gabrielgonz27,630,1493,0,1
AgustinMillanG,3562,2701,1,0
carodiotti,2183,1149,0,1
malurubio12,123,162,0,5
Jessica03050501,14,51,0,1
generoenaccion,15407,8185,0,1
SiSePuedeVLL,1686,453,3,1
GonzaloLarenas,9031,1298,0,2
GenIurisLaw,98,117,0,1
DanielJuanma,418,663,0,1
GipuzkoaCoopera,116,145,0,1
VAW1970,11,130,0,1
PNUD_ALGenera,6296,1487,0,4
UEenElSalvador,4441,725,0,1
guillem_llorens,229,192,0,2
elenayllon,1211,1287,0,1
sggranda,1899,4532,0,3
GabPS9,166,758,0,1
CEADS_AR,3641,755,0,3
comunicacioicab,15476,1312,0,1
anahinovoa,1644,476,0,1
espenovo61,53,208,0,2
EstherMasclans,132,245,0,1
s4theplanet,19,70,0,3
Gflorentino4,9,44,0,1
GGroxanaaguirre,49718,40331,0,1
zanaines,3273,2713,0,3
rafallanesripol,123,84,0,2
ACh88_EC,20,14,0,1
EFEafrica,4013,105,0,2
umhsapiens,2179,1826,0,1
fannymar05,38,125,0,1
LuisRam79683177,95,110,0,1
Diego1Castaneda,209,34,0,1
Carran_Ergio,61,230,0,1
unfpa_lac,4706,984,1,0
albertobecbed,338,372,0,1
EBismark,2221,2326,0,2
martutis6,580,1492,1,0
CayoCornelio,841,1295,0,1
ObservaRSE_,6791,5882,2,1
apdisutrera,395,199,0,1
weirdkit,196,337,0,1
CarCstro,259,369,0,1
arturocarrascog,570,1396,0,1
Mherrera76M,68,338,0,2
paraguaneando,1264,2130,0,1
s_k_agarwal_nmb,164,28,0,1
IvanGalindoPue,6235,970,0,1
gnoto62,769,545,0,1
ExtraEditable,289,1058,0,1
ElfantasmaBoo,396,1039,0,1
acmvzla,202,431,0,1
FABIANECOLOGIA,328,997,0,11
M_Emprendedora,5053,567,1,2
OITAndina,4552,728,0,1
Value4Chain,1559,2407,1,0
JoaquinLopezP,2798,893,1,0
maribelgomezc,25,56,0,2
MaruGSampietro,908,678,0,1
CECyTEHgoAB,472,106,0,1
GPistako,56,508,0,1
Noelita_ch,1594,899,0,1
LolaCapba,170,333,0,2
camejavi,72,125,0,1
Pat_Odone,173,163,1,0
Jcarlosigeno,2939,868,0,2
Yazcardenas15,881,805,1,1
ConectaTECmx,12176,273,0,2
emebesostenible,43,124,0,1
AlixStellaFranc,21,84,0,1
RADIarchivos,289,258,0,1
pablo_sah,708,644,0,1
lideratge_50a50,1683,758,1,0
pablosuelto,1761,2819,0,1
bellirioceci,506,1214,0,1
casadecronopios,44,156,0,1
rosamelero,2118,589,0,2
OIDPcat,728,1186,0,1
constanzasolor3,37,85,0,1
IlarrazaLaura,3987,178,0,1
mpfc73,1601,3590,1,0
AlvaroRodera,299,1472,0,1
silviamv00,24,136,0,2
Concertacion_pa,972,244,0,1
Lmdileo,106,314,0,1
PepaFranco,95,361,0,1
ErikaMonroyOrt1,24,41,0,1
luis_pepe1984,595,2749,0,1
14x7M,3,126,0,2
lamurgacom,1151,1754,0,1
chinome2018,237,703,0,1
Nubedeazucar13,668,1112,0,1
ileavillalobos,533,1482,0,1
InmaLozano10,190,158,0,1
MagdaQuerol,914,1166,0,2
tiempoin,154,417,2,0
Ruben_Castro,942,954,1,0
CALEMANR,3182,3826,0,1
jmancebog,407,570,0,1
avatarsofia,240,197,0,1
deusto,24862,1317,0,1
MACsimplicity,353,553,0,1
_AngeGI_,581,388,0,1
jesusowpadilla,165,1367,0,1
sAtt_arq,666,1171,0,2
Yola_MartinezL,2564,973,0,2
Xem1ta,57,73,0,1
ApSExtremadura,861,2425,0,2
carolinadosy,245,474,0,1
AmparoHidalgo7,89,129,0,1
jmoradiaz3,43,411,0,1
knowdler,807,1134,0,1
almudenaf,251,668,1,0
JPVmx,2836,4334,0,1
LaudeGuardia,124,150,0,1
AnjaradMadhavi_,72,881,0,1
editasalce,1936,1739,0,1
pedrosport1,465,2241,0,1
ivanpe84,105,175,0,1
JuanJodar4,79,152,1,1
jpalopcasado,2853,4948,0,1
granadofdez,1559,1651,0,2
CatedraHidralia,418,449,0,1
Aide_Albarran_C,69,87,0,1
madrid_osa,605,4860,1,0
IMIB_Arrixaca,541,424,2,2
CYTlab,8826,1678,0,1
txujb,150,302,0,1
crisorihuelar,721,602,0,1
CiudadMe,50,204,0,3
Ecooo_,15616,4362,0,2
robertofc,281,868,0,1
FAbiertas,286,587,0,9
JorgeAPerezP,277,556,1,0
Aguilera_Ariza,618,999,0,1
jpronal,33,291,0,3
PacoDelg,560,633,0,1
moises_1947,46,98,0,1
fjimenezm1,137,291,0,1
BurgosSolidaria,583,371,0,1
arquitectosCOAG,5584,1824,1,0
aldomaher,495,2147,0,1
Auroritacel,178,40,0,1
MiguelAleM45,265,557,0,1
BManriqueLara,423,308,0,1
AnaTeresaPache2,77,223,0,1
Nohemi38579494,1,6,0,1
Viky_Aquin,349,470,0,1
FundacionBeQual,2653,908,17,0
MAOM0303,111,413,0,1
lolaoltra,7133,4471,0,1
CarlosPaisaje,7,31,0,1
amycosONGD,1048,440,3,0
andresgutileon,680,940,0,1
LuzRoCorredor,4999,5000,0,1
xelocalabuig,877,964,0,1
Tonny1604,172,824,0,1
grace_basset,26,77,0,9
GoberCarchi,8802,543,0,2
quitohonesto,1831,607,1,0
Mechiansotegui,176,819,0,3
neidyclavijo,863,588,1,3
Gsabiolab,525,186,0,1
fotaranco,51,199,0,1
EcuadorONU,3568,417,0,1
ADEFIcv,257,271,0,1
AlbertBlancoD,2241,2058,0,1
MoniRo703,5,227,0,1
Perisandru,10641,4412,2,0
ELX2030,344,212,1,0
Red_Carolina,114636,1453,1,11
ElCoffeeMan,798,1746,1,0
claudiamleguiza,688,1267,0,1
Goibasins47,1,49,0,1
LFdezPolicy,36,190,0,1
jamonada,324,533,0,1
DRF25,63,198,0,1
jmejia_alvarez,195,609,0,1
Orrozco1,19,176,0,1
APBarandica,435,559,0,1
soydavidmontiel,3191,923,1,0
ledoleon,2078,1306,0,2
javipi1964,1213,1200,0,1
And_Martini,159,234,0,1
CeliaUrbieta,1016,723,0,1
Fog1973Felix,266,575,0,1
xavierhervas,795,1655,0,1
EVALUAJalisco,863,47,1,0
Soniafh81,654,1286,0,1
Blancarenas1,168,501,0,1
carlosmcabo,1186,1142,1,0
palmeraviva1,191,368,0,1
Jose_mpp,244,1678,0,3
MloulouM,27,194,0,1
pacheco_mairym,236,164,0,1
ASF_Levante,161,217,0,1
juang353,2318,5001,0,1
ParraBaltasar,101,472,0,1
AclimaEuskadi,1606,589,2,2
JPVelasquez17,226,323,0,1
DaviDelgadosant,390,345,0,1
M_LuzOrtega,2225,1766,0,3
ST_Talcaoficial,2129,1130,3,0
mariaferquijano,249,538,0,9
CruzRojaCarav,513,201,0,1
Valeria_mg_14,2487,893,0,1
JuanaInesGarci1,19,34,0,3
Saiidmar,224,346,0,1
InmaVelascoJuez,170,105,0,6
KahloFreeda,37,278,0,1
EmbEspSkopje,1410,570,2,0
ChicanPolitica,33,299,0,1
elvimmor,1040,2195,0,1
MartinKopp_,1236,696,0,1
KPLAS3,81,213,0,1
SSumelzo,20354,5128,0,1
frantrej05,2505,1260,0,1
EleComoPuente,93,245,1,0
UnLtdSpain,3177,1972,1,1
ThomilPro,277,216,0,1
claralunis,106,162,0,1
JaimeSilos,2123,544,0,2
teocla,244,1229,0,5
InfoDiplomacia,24999,15240,1,0
educacionCTS,599,186,0,5
AVesgaM,33,386,0,2
andriguzman,3630,1330,0,1
lazoedu,243,444,0,4
MarlisAracena,10702,4260,0,1
DANE_Colombia,200406,1587,1,0
pparganzuela,2327,694,0,1
joseluisgcureno,3512,2174,3,0
fvh_27,74,207,0,2
emakundEJGV,7045,327,2,0
reinaldowix,57,57,0,1
ONU_derechos,628408,2087,3,0
IsraelLpezMarn1,116,413,1,1
rnpy951fm,3933,513,1,0
mapagob,128476,941,1,0
BGonzalezGaya,165,520,0,1
traspergasi,1,16,0,1
Yayata24941889,271,190,0,1
jisettquezada,87,195,0,1
ana_antolin,637,1320,5,10
caram_paola,19,194,0,1
yonydumar,6841,6327,0,1
coplade_costa,948,914,0,2
alcastaro,505,231,0,1
regina_arroyo,69,916,0,1
jdoviedoa,6064,269,0,1
SalesianosEs,11596,774,0,1
lacamaradequito,12732,3084,0,2
fundaciondrmm,93,113,1,0
NayibeSegura,169,728,0,1
blogsostenible,15228,2328,0,2
Celi42084822,18,88,0,2
JulioDMartinez3,90,23,0,1
Capital2030,18,65,0,1
jalmagro,2879,249,0,1
brujinma,1120,913,0,2
JuniorReport_,1330,340,1,0
choikepurun,618,479,0,1
DGCyL,7493,1782,0,1
BrasalRosa,156,709,0,1
APCCARDENAS,73,19,0,1
misaelhoracio2,112,204,0,1
history_topics,6489,929,0,1
unicef_eus,948,1461,5,1
gmedinavogel,266,271,0,1
IesctUnq,66,539,1,0
nicolasAmon,3756,1160,0,1
BenjaminLAgro,46,202,0,1
anitamarianunez,266,339,0,6
CorpoTejesocial,44,91,0,1
SmartCity_Net,3139,645,3,0
AaltoCons,235,445,0,3
AstridBar_,520,448,0,1
sanidadgob,238072,605,0,1
Tosgriju,2178,712,1,10
IlianaCortez02,18,30,0,2
Santiag66557651,24,2,0,1
lmottafer,98,352,0,1
MrMisingno,3296,1306,0,1
Daniels830424,36,138,0,1
MarceloVitale,261,571,1,0
alidagf4,156,82,0,8
agenciaoaxacamx,4828,2406,0,1
luis_babiano,1756,1642,0,1
sanandreslovers,171,253,1,0
CaloCalo2017,28,208,0,1
jcastano78,889,1557,0,3
EMPODERA_org,5210,1200,7,3
Irachisan,55,182,0,1
MKevinTafoya,507,4980,0,2
gpssenado,16749,730,0,1
WDSUSANA,75,155,0,1
bearguell,38,106,0,1
Mertrak,2901,484,1,0
monitor_2030,22,188,0,2
eileenale,386,1524,0,1
PamelaSan_,109,117,0,1
MariaMedinaMar5,10,81,0,1
JuanrqzQuiroz,8,71,0,1
CulturaUNEDSg,135,49,0,2
RWallF,49,117,0,1
dianalecs,654,181,0,1
AlleCelia,120,232,0,1
7500Millo,108,388,0,1
alesew23,10889,12213,1,0
FedecaMIRANDA,101,128,0,1
HenanSoto,411,1210,0,1
PCvica,481,416,0,1
Fernand43688129,44,541,0,1
jairourquina1,129,801,0,1
Dircomcat,1268,378,1,1
SonYritmo,126,428,0,1
nenuhca,706,476,1,0
BencomoAle,524,823,0,2
SUEZAmCentral,565,471,1,0
Alberto_Guijarr,1252,1550,3,3
CaminoArroyo,158,73,0,1
MYuriMaria,2720,4026,0,1
jmaryli,4643,4220,0,1
LuisGonloz,335,932,0,1
MariaLeoMl,325,857,0,1
zullyladiosa,296,922,0,1
hdojgomez,4747,118,0,2
Proesa_sv,11591,423,1,0
m_chilibroste,467,410,0,1
aguadequito,34626,2097,1,0
guchachi,830,352,3,0
fisicadisidente,1011,898,0,2
320CyM,467,1481,2,1
Ferfollos,672,1266,1,1
ABC760AM,4769,164,0,1
pilamiranda,887,2451,0,1
lemavelez,510,274,0,1
JoseFra36250149,14,28,1,1
Beln82,401,1015,0,1
congresoib,902,711,5,3
miquel_seguro,1938,595,0,1
visitcabrera,838,1450,0,2
viajeosado,1649,1528,0,1
serrotsevein,100,484,0,1
karlagg979,3,6,0,1
JackisSher,26,46,1,0
ValarezoSilvia,12,138,0,1
AlexArevalo15,601,2642,0,1
SairaFlores_,872,735,0,1
NP_Aguirrezabal,304,419,0,1
OOdnamra,132,81,0,1
Carlosrenecorra,34,162,0,1
faby_92,64,198,0,1
pscbarcelona,6479,2990,0,1
EaLluvia,191,355,0,1
predondomora,167,294,0,1
amedina2011,1547,148,1,0
Telecom_Ec,165684,6584,0,1
Elena_19Abril,756,1121,0,3
brina_ar,1208,2951,0,1
tecnosolar_mx,110,115,1,0
MiguePereira79,387,196,0,1
RositaOrloff,337,650,0,1
julumbreras,352,95,0,2
diegocobosch,1400,556,0,1
CarmenA33780200,32,85,0,1
