usuario,seguidores,seguidos,tweets,retweets
BancoCentralRD,92374,303,0,1
MarC_GRcia,2848,1335,0,1
foroconsultivo,32601,699,1,1
Bee_5410,100,127,0,1
EmilianoEAS22,1044,697,0,3
utpl,48383,1195,1,0
AlvaroPadial,275,955,0,1
Omar64307850,3,17,0,1
CityScientists,831,547,0,5
Bib_Oij_Argonos,88,239,0,1
TranspiSS,1534,1830,8,2
rgalans4,394,570,0,1
SherenePerez1,5,6,0,1
anagbarrera,118,367,0,1
UKinElSalvador,5591,555,0,1
Manu_1498,255,496,0,1
zarzaymenta,1487,1184,0,2
MarcaconValores,1822,1081,1,1
Astrid_Pulido,43,235,0,1
ZuccherinPiera,147,249,0,1
Alex_GalvisV,702,3573,0,1
comunitariapue,350,705,0,2
SarzosaPatricia,262,215,0,1
Iria_rm,174,397,1,0
MariaTerolCla,553,410,1,0
AIPCPandora,2764,1179,1,0
aliachahin,796,419,0,1
BraulioDguezA,49,155,0,1
mckzenteno,20,133,0,1
aretegestiona,261,448,3,0
pvalenzuelam,3768,2005,0,1
AlmudenaDiez,1261,2241,1,0
natasha60113180,16,89,0,1
EsmeAbenia,406,466,0,1
GEOCyL,5098,1922,0,2
sodero5,356,372,0,2
PlantecophysPTY,576,428,0,1
LourdesMourelo,267,400,0,1
DelGobVG,4293,291,4,1
bpinedotex,893,521,0,2
MaPaulinaP,3558,1464,0,1
AnaliaC45821348,241,133,1,2
paulmeriv,15,124,0,1
XochitlBendeck,389,977,0,1
jmelgarejo316,2390,2706,0,1
fran_yhernandez,46,304,0,1
FrankManriquez,27,37,0,1
ZeroWasteUpm,269,478,0,1
Ramon_Torre_C,3883,2017,0,3
Contract_Duero,533,1072,1,2
OCUD_UC3M,205,281,0,1
Elbuenmauu,64,464,0,2
LZamarriego,655,968,0,1
zakapumba,353,1724,0,3
Y4PTco,326,82,0,1
pca_CKL,430,731,0,1
Cermi_Estatal,26146,7367,0,2
repicaremocha,110,87,0,2
AragonEMPRESA,8851,4379,1,0
humberto23233,2,9,0,1
LupeCarpio1,537,472,0,1
juanangepoyatos,1488,1681,0,26
rd_manu,124,148,0,1
GVAoberta,3446,489,0,2
Remanaure,5,81,0,1
LuCeleste15,201,420,0,2
QuinnSteady,62,75,0,1
leonardombaez,2844,3349,0,1
mariapaolalugo2,290,1199,0,5
nicoramokalkus,44,147,0,1
ChristinePaola3,7,60,0,1
sancris63,752,3144,0,1
NarinoCoopera,609,249,1,0
jorgejhorlfl,249,2092,0,1
laruecaas,3852,671,5,2
SecMetas,12405,324,0,1
AliciaGC11,80,209,0,1
Cutralla,903,3520,0,1
jornalistavitor,36198,37786,0,2
Manuel34897080,9,50,0,1
ideas_es,6596,1750,3,2
anitatoledo18,294,441,0,1
floorodriguez,218,617,0,1
Smunoz1974,88,43,0,1
KarenFerPerez,283,444,1,0
turpial2015,1010,1360,0,1
rodolfo_mure,123,543,0,1
AcademiaAgp,822,664,0,1
UCCI_SG,2856,654,0,1
oinarrisgr,7067,6008,0,2
Almudenasa50,102,54,0,1
gbardesio,72,513,0,1
gaboman76,260,474,0,1
DVivas,1864,3471,2,0
David_Murillo_A,184,202,0,1
triton_cyted,214,136,0,1
eva_tejo,57,111,0,1
tytandrade,53,88,0,1
BelenSanzLuq,3028,366,1,0
ArangurenIndira,367,1005,0,1
89Wilfer,275,1945,0,1
Lia_Bengoechea,795,566,0,1
spgamino_g,116,496,0,6
xsaezll,11267,734,0,1
ceiegchiapas,1127,165,0,1
JPTicona,560,436,1,1
fundacioabertis,1306,291,0,1
RafaelRubirosa,1990,2215,0,1
gordooriola,1403,2438,0,1
paulojavierlara,13,5,1,0
asoc_galban,760,256,0,1
oshumo,462,1806,0,1
JoseRam52077065,32,55,0,1
vera_jose1,190,189,0,4
isola_gabriel,111,332,0,1
dLuycias,1633,4406,0,2
_AnaLauraGarcia,18,62,0,1
SpainUN,15006,1129,3,1
PatoSpotorno,19,18,0,1
AF_UnidadVerde,1386,441,0,1
soniaparicio,3573,1458,1,0
Zaiherib,10,74,0,1
LucianoDopico,583,2186,0,1
AlcorEss,1022,1171,0,6
JuanHuertas,814,3466,1,1
j_cobos,3798,4028,0,1
apyepes,267,362,0,1
CECODES,4018,559,5,2
adolflow,2671,4924,0,1
StephGaleana,107,208,0,2
reinaldolpzlpz,506,450,0,1
juliovicenteglz,529,716,0,1
Victor_Reloba,2615,1767,0,1
RocioVillarauz,654,314,0,1
VRojo13,122,635,0,1
peluquera44,88,326,0,1
CarlosECuenca,85,232,0,1
duniaorellana,1299,2011,0,1
rdiazcaro,704,817,0,2
clvor,937,859,0,2
MaiteLacasta,117,188,0,1
MMBRUNA64,311,289,0,1
JjospinaJohn,78,121,0,2
arias_pando,186,169,0,1
GabiBritoA,8535,870,1,0
Sebas_Olivera,1996,881,1,1
R1Paraizoo,498,124,3,0
AnnaShalot,94,304,0,1
viceUPOE3,508,252,1,0
jorgetuero,400,1027,0,1
TechnovAragon,431,305,1,1
jon_element,21,18,0,1
AbanillaRamon,306,483,0,2
CesarDom5,113,142,0,2
antonio_corod,555,587,0,1
JohnMal97965779,999,1206,0,1
LazcanoPue,10,33,0,2
MSilveti11,979,1339,0,1
ComiteVPolanco,2643,716,0,1
sofvelce,184,623,0,2
churumer,173,315,0,1
TEDxValladolid,6494,6309,0,1
linuxmil,590,262,0,1
AngEstrada5,57,307,0,1
emiliagon10,778,473,0,4
JuanTVaz,387,394,0,1
lida21,1651,1413,0,1
joseh0895,156,470,0,1
SumbaKarla,190,296,0,1
Dianova_org,2336,2353,0,1
Mexicanos1o,59643,1804,0,1
FEVECTA,2345,1251,0,1
BelloCorcino,105,137,0,1
AnsemacAND,176,200,1,0
JCRY1967,192,471,0,2
DDuque180,4,18,1,0
dinapsis,1211,1004,0,1
Sercop_zonal6,475,172,0,1
Gloria18Fuentes,121,426,0,1
EBCvalencia,1042,369,0,1
ANDREMARIAR,725,691,0,1
FundacionJEI,57,137,0,1
Anesvad,9040,1975,1,0
ESPARRAGUERA,516,547,0,1
noticiasdelempl,155,438,0,1
FernanSQL,2076,1860,0,6
tidalu,1252,2338,0,1
CristinaCabezon,8747,2334,1,0
ciudades2030,1337,4986,0,5
Letipaty1,55,67,0,4
AMITI_Mex,10800,359,0,1
fcermeno,3246,3767,0,1
Clara71138337,2,36,0,1
Tirofijo2,49,75,0,1
RafaelAlbertoP3,341,164,0,2
RodPDavison,1683,4997,0,1
mtmachado,798,700,1,0
Abogacia_es,59867,1379,5,0
AidaCerdaC,322,648,0,2
pilar_ccoo,1117,1296,0,1
ophi_oxford,6276,718,1,0
IxchelPerez,1525,2228,0,1
eInforma,3491,2393,1,0
MSPE_Andalucia,197,215,1,0
paquinta,1362,1516,0,1
ambientologaIB,2296,1249,0,1
CiudaddelSaber,31210,552,0,1
MesaParticipac1,44,50,1,0
AlfonAlzugaray,1141,1050,2,0
Placidoplas,33,208,1,2
alvarosenan,5925,5925,0,1
MercosurB,22,87,0,1
redverdeflex,593,405,0,2
PaolaAndreaSar4,38,183,3,1
alfobrandi,252,646,0,1
Jorgego92570227,32,67,0,1
soydel7,172,1110,0,1
TRICORNIANO,265,694,0,1
PBI_EE,1052,1839,0,1
csantamaria67,80,74,0,1
PerlaMBaez,313,200,0,1
cdesquivel,115,191,0,1
mariais79296170,352,4164,0,1
anatdc_,261,198,0,1
Carlosmperalta,138358,818,0,1
MARCELINOPEREZ3,882,1814,0,1
EAlaix,52,53,0,1
ObservatorioCUD,1790,807,4,3
unodcesp,16485,193,0,1
fundacionfade,1932,814,6,0
carlitachavarr,132,215,0,4
Berenjena648,179,169,0,1
andradefederico,801,2174,0,2
BeaElizundia1,212,329,0,1
JJSSMOLINADESEG,185,431,0,4
peixullada,539,916,0,1
CTransp,2272,1125,0,1
Is_Mislata,4,27,0,1
ViazcanV,2442,4747,0,2
FerransHferrans,314,1024,0,2
FreddFreud,394,967,0,1
COFIDES,3994,1960,16,1
Edudesarrollo,11808,5897,4,9
ComisionODSRD,273,164,1,4
falejandrofr,1272,4440,0,1
innodriven,1197,605,0,1
kahtanalani,312,402,0,1
JJds80,84,197,0,1
titogn,103,77,0,1
cesarecheverryc,2213,4399,0,1
feministascpepu,151,163,0,1
iberoaccion,2613,1236,1,4
clauavruj,17976,690,0,1
pata_marques,173,435,0,1
GIZEcuador,1560,614,5,1
mjyepez,111,220,0,1
DolorsVallespi,700,1412,4,0
pablollaneza,933,1023,0,1
TanRet,140,402,0,1
AntonioRusMend1,57,165,0,2
luguruca,113,364,0,5
Javier_Buhigas,225,322,0,1
IVIGlobalEdu,254,198,0,1
cpciudadanapue,596,514,0,1
ballestermendez,510,785,0,1
FAlimentum,670,757,0,1
InternacCDMX,6984,438,1,0
jasanchezcal,48,105,0,1
rubiomielgo,155,170,0,1
PietroBartocci,1646,3677,0,1
extransp,420,285,1,24
diego_vallejop,41,92,0,1
XuanTerrible,385,1177,0,1
colsangregorio,849,412,0,1
eargumedo87,33,296,0,1
Quikesf,194,927,0,1
ca_clavijo,8,66,0,1
robertoiturral4,128,82,0,1
celbamach,208,262,0,1
SincroAsesores,249,311,3,1
manupleguezuelo,2102,1397,2,18
jorobe555,610,281,0,1
mperezsar,613,757,0,2
BarrondoEdurne,187,652,0,1
Gabrielgtzg,4522,642,2,0
jorgeherrera_m,376,907,0,1
CentroRainfer,2421,191,0,1
ClubPAlcobendas,2864,770,0,1
longinosmarin,685,302,0,9
InfoFBYCC,544,282,2,0
ropenuel,63,302,0,1
Enedina37049621,1794,2178,0,15
AntiaRego,370,631,0,1
GefComunidades,557,694,1,0
yo__Juanma,135,186,0,1
AscunAcademica,243,184,1,0
flaviofuertes,251,134,0,1
JuanP_MoralesG,247,491,0,1
ClauZ2018,2,56,0,1
Viictor__02,141,424,0,1
RRIICTA,1673,1035,0,1
clarallensa,295,146,0,1
dencuf,141,458,0,1
ICEXRabat,2683,2170,0,1
MoniPizani,1412,334,0,6
isa_psico22,10,44,0,1
ApostoladoCmfSt,518,185,0,1
AExplorer2010,1283,1351,0,1
PacoValverde7,167,88,0,1
CescRomaMillan,155,159,0,1
PalotadaG,1138,2196,0,2
CATCODES,245,293,1,0
Cla50503802,9,42,0,1
UNWTO,80250,3980,1,0
BridgetGosi,1131,1145,1,2
medioambUCM,479,313,0,2
ngela64864015,64,467,0,1
FBGFilantropia,874,2992,0,1
Maribel_FdezG,1485,565,0,1
macaticr,376,892,0,1
GustavoZuar,3650,110,0,1
rosasiles,1615,974,1,0
AnaDeBenedetti3,170,413,0,2
MJusticiaPy,16568,763,1,0
beaca31,301,625,0,1
IEOsantander,1667,646,0,1
arBritish,2460,304,0,1
Andr3aVeloz,11,138,0,1
CarlosFamauta,119,178,0,1
Monruram,300,780,0,1
LorenaF49141484,49,293,0,1
Bettozuleta,1328,1172,0,1
gabrieldeler,296,793,1,5
HugoMarmolSan,328,754,1,1
Ropa49,100,142,0,1
lugardelcosmos,250,475,0,1
JuanDeChubut,3822,2380,0,1
africancaravan,559,437,0,1
YoSoyLaRamona,296,515,0,1
yarimakarelia,286,359,0,1
Xose_rm,110,138,0,1
T2Tourism,138,81,0,1
04168994elias,27,102,0,1
IntendenciaRM,135435,5350,0,3
Iliana_Galindo,2285,5000,0,1
Josefadiazdel,521,716,0,1
Ihobe_Eus,3174,1239,1,1
SANDYOA,44,277,0,2
paco_iturbe,1898,1725,0,1
ELKARGI_SGR,4925,2782,0,1
Sonrisasdbombay,3884,414,0,1
ONUDHmexico,40232,502,1,0
Toniovetpath,527,273,0,1
Jesus_Tortosa,1187,3610,0,1
lauracardenas79,621,549,1,1
RedRECI,3191,43,0,1
MChale7,582,855,1,0
AndbankES,11727,1184,2,0
DGGC2,154,314,0,1
suhara136,1224,1000,0,1
MAETungurahua,2776,2082,0,2
Sofia578BA,7,60,0,1
RicardoVargasfi,120,1195,0,1
APJoti,10,11,0,1
PeronLibros,207,204,0,4
consuelo_pelaez,246,457,0,1
team4ghana,2647,411,0,3
lorenadeber,204,957,0,1
GanaderiaH,548,142,0,1
CALDERONSPM,1760,2316,0,2
RespSocialUE,1960,1098,1,0
ppcolmenarejo,2000,319,0,2
CruzRojaRioja,3720,259,1,0
mamergarci,45,272,0,1
AlonsoBustosB,749,1405,1,0
elchuster1,40,126,0,2
JeanPaulVC,12564,13052,0,1
FONDEJUSTICIAYV,390,239,0,1
mejorsociedad,14340,9014,0,1
esMONDRAGON,20199,15089,0,1
VzqzPilar,1031,1602,0,3
olgadoate,45,111,0,1
bramaccimmyt,3279,1252,0,1
DeliaEchevers,209,449,0,1
35dcaaa13f734eb,65,345,0,1
mariaalejaht,404,908,0,1
CascosBlancos,7172,1111,0,3
DianaMqV,118,229,0,1
Marcelo70227952,58,249,0,1
gorka__urtaran,5661,472,0,1
Anaibarra00Ana,302,118,0,1
angarcimart,1109,1989,0,1
federacioacapps,2024,526,0,1
GobIndep,335,116,0,1
salvadortudela,355,406,1,0
maryudta,404,1412,0,32
JPPAUTE,516,1389,0,2
ArqCarlota,416,148,0,1
QuitoPlanifica,1614,145,0,1
EqGen2013iteso,302,220,0,1
GiustiLo,108,276,0,1
nancyona4,14,82,0,1
soniagaya1,3071,597,0,1
anzuresgurria,252,133,0,1
Mov_5Mas,504,835,0,1
CACHIVACHES10,150,454,0,1
zulueta23,2025,2442,1,0
DipuHU,10737,1497,6,0
Maria_SolanasC,2549,1929,0,3
G0rgi,349,987,0,1
guiskiguiski,511,254,0,1
APDasociacion,11657,1220,2,0
trinity9929,288,334,0,1
info_conama,32925,2725,1,2
ClimateKICspain,2390,1001,1,0
bel_merc,77,319,0,1
jilmorgilson,1191,2960,0,1
nugarci1,298,489,0,1
Portalfarma,26334,2184,0,2
ambienteysoc,18935,1963,0,1
sebawabes,1793,707,0,1
MONTESsinplast,182,179,0,1
isabelplazam,133,722,5,0
fempcomunica,12215,2492,0,1
GESCONTROL1,11,34,0,1
PalPalacios86,41,213,0,3
giselledellamea,3412,1418,1,3
JaumeMayor,7128,2518,0,1
ChrisqCh,27,67,0,6
CR_EibarErmua,350,632,2,0
MarydhFer,103,179,0,1
negoestratega,2433,471,0,1
raulsan1998,2432,5000,0,3
FundacionAMCHAM,2720,1364,1,0
cossi27,1883,2125,1,0
catalinagq97,174,264,0,1
LGorrion,701,873,0,1
2015Amparo,2031,2246,0,1
Ivanofi1,13,88,0,1
JMorenoTorres,815,1292,0,1
Omacias1112,22,152,0,1
jjaguirreg,200,885,0,9
Rocio66966166,52,228,0,1
cgongd,2674,2041,0,1
ANadiaGarrido,498,1478,0,1
DaniOrtaG,63,304,0,2
EAAD_Tec,167,222,0,1
CifuentesAura,1311,1212,0,2
kunaymana1,536,638,0,1
julian_gahe,131,1224,0,1
duque_profe,22,89,0,4
AlexTre07267086,35,762,0,1
DiegoCalatayudS,439,1155,0,2
doloresojeda1,2806,581,0,1
team_shakers,73,257,0,2
carbonellcoca,137,331,0,1
Pedro04751073,9,124,0,1
AguTorriglia,1368,1289,1,0
HumanasSO,3831,3553,2,0
colonia_obrera,525,1235,0,1
ElSalvadorPost,8288,771,0,1
EduardoYuddh,61,377,0,1
fredybetan,520,1571,0,1
alexgiraldo77,2470,3960,0,1
twitt_ecologico,166,772,0,1
jszaragoza,2548,1539,0,3
mamr_bxl,107,132,2,1
fcosilvag,651,1774,0,1
sopamadrid,421,760,0,2
KarlaRiverag,389,277,0,1
juliaortegah,31,48,1,0
gracemezcal,66,337,0,3
alexia_O94,199,265,0,1
BiebarachJuan,320,298,0,1
paulalvarez,708,870,1,0
TikisMikicho,265,381,0,1
evmaroan,2441,2242,0,1
Josep_Jonas,1059,479,1,0
katesparza02,194,312,0,1
CavalaGAE,262,525,0,1
carrillof862,15,138,0,1
Quietmango99,2,81,0,1
infosantcecilia,837,720,0,1
garcialores,480,495,0,1
nilusorg,584,158,0,1
DPradda,16,62,1,1
DianaM0318,104,189,0,1
joseppuxeu,708,345,0,1
meigandiaz,305,883,1,4
martinabilli,236,718,0,1
BeatrizArribas,660,755,2,0
ComesSoler,1,40,0,1
jpablus007,20,231,0,1
ICOgob,5723,173,1,0
E_Log_Canarias,30,83,1,0
casamerica,34614,2354,1,0
LauraMonicaTrev,35,73,0,1
CCMxOficial,9,109,0,1
BorealVenture,1340,1815,2,2
cmesado,85,164,0,1
lalyar,415,605,0,1
ZoltanCsabaNagy,8914,2381,0,1
af_giraldo,1009,1908,0,1
daniel_ottmann,261,254,0,1
FrigolsAnna,520,467,1,1
herdzrdz1,258,1562,0,1
Juanjocsmurcia,947,971,1,0
econexos,752,194,0,1
PactoMundial,16966,555,27,3
upeceuta,553,304,0,1
CristianSamper,5217,466,0,1
CREesSantaCruz,206,85,1,0
caayresCarlos,47,127,0,2
embEspArgelia,5686,285,0,1
LetyPerezCast,1341,2236,0,1
PabloCheFLuna,608,2156,0,2
margagual,7789,4057,0,1
Luis_Company,1235,252,0,1
sitaelinova,308,348,0,1
JKatya03,103,146,0,1
CordobCarlos,1798,1051,0,1
ISMedioambiente,32623,17726,2,0
LuisanaQuiros24,321,621,0,1
crc_filadelfia,35,98,1,0
habitatierra,96,285,0,1
CocemfeCAT,2730,1052,0,1
ecoacciones_co,69,288,1,0
GesCulCyL,2675,844,0,1
OmixCambre,435,486,0,1
vmendezdevigo,943,849,1,0
avalderruten,645,698,0,1
Valemogo,1864,1530,1,0
CERMIAragon,4401,2293,0,1
ecis_78,12,153,0,1
iuleon,1837,1197,0,1
arturorangelbm,546,406,0,1
nanetegarces,637,2358,3,1
tratolillo,50,276,0,1
lideargentina,1583,767,1,0
Santialdana08,286,1375,0,1
Hectorv09183674,56,161,0,1
carolatorre1410,11,56,0,1
SiendoSolidario,587,364,0,1
rdz_cristhian,988,5034,0,1
HUELVAENCINASOL,112,78,0,1
HelpUP_es,2660,1980,3,1
TravelingCloth1,62,335,0,1
MediosTec21_Vva,2611,4955,8,5
locutorfranklin,2098,3054,0,1
gonfermo,69,163,0,1
MicrocreditoUAM,881,374,0,1
ErikMozo,4237,796,0,1
IGUAZU21,42,215,0,1
Alex_SantosG,169,143,0,1
AlPachecoVa,1248,506,0,1
MaryGomezBenito,302,287,2,0
cloticuellar,875,445,1,1
ValoresDiversos,41,76,0,1
CForestalia,5,90,0,1
AdroverRosa,178,203,0,1
mjcalvimontes,33696,10749,1,1
Crisallano,159,161,0,1
infoHIDRAQUA,3047,2263,0,3
JorgeLTorresA,69,111,0,1
dgespinoza,70,133,0,1
sin_palabras,704,193,0,1
lufesuve,1893,564,0,1
mjalzari,482,641,0,2
JustinCMAdams,4915,3091,0,1
Birzitek1,262,336,1,0
BegoFuentes7,329,563,0,1
generaltachin,4828,5316,0,1
Antonio65906499,9,4,0,1
foroigualdadgen,1118,179,20,1
CompromisoRC5,5777,693,0,1
rosaeropa,95,72,0,2
ribad71,420,409,0,1
CKLcomunica,2041,2004,1,0
enagas,4430,619,1,0
SERCOPec,17144,1313,0,2
LundDoris,57,352,0,2
hector_ferreras,253,746,0,1
virginiaimaz,1018,349,0,8
marome1,1404,1988,0,1
GabrielaJrojas,28,154,0,1
lau_optometrist,194,764,0,1
AlexGodoyF_,3857,1306,1,1
vikingojohn,1108,2392,0,2
HectorSG18,43,182,0,1
OteroJimena,3781,3981,0,1
Boervijadas,740,1776,0,1
OTT_UCSC,594,767,0,3
almaterramagna,43,192,1,0
B4ATools,1578,1576,0,1
NormaPimentelMx,4634,4252,0,1
isauralealf,2426,297,0,4
julfrigerio,167,220,0,1
jori_armbruster,532,347,0,1
TejadaCalvo,2,16,0,1
AlynPB,890,1305,1,2
gladbelen,503,2213,0,1
UFUK89486848,145,387,0,1
DiaconoOikos,1730,1881,1,2
ValeriaCirico,363,243,0,1
kamsynmag,889,507,0,1
natacarbonell,4372,4494,13,26
SinobasRamon,240,125,0,1
educaCNIIE,70907,8579,6,0
sinuhe7310,41,385,0,1
DanielOrta28,376,573,3,0
AnaAgp_1967,5858,5321,0,1
emraboso,304,718,0,1
petroides,3851,4133,0,9
Confae,1237,1034,0,1
faongant,1560,1500,1,0
RebeccArteaga,852,1797,0,2
SGuevara7,1035,3089,1,0
ComillasRefugio,1524,736,0,1
thecalexandra,351,606,0,1
PNUDArgentina,7911,4943,19,4
barahona_dianna,35,141,0,1
ArrecifesCoral,991,420,3,1
davicho1192,239,301,0,1
isadlcs,21,63,0,2
IVIclinics,9908,1648,2,0
sellofairtrade,3435,902,14,12
ASA_Andalucia,2215,665,0,3
CogLosangeles,1573,366,1,0
redongdmad,2930,1683,2,6
Alexa03175829,186,591,0,1
manufernaz_,64,95,0,1
Perona10690463,1414,1018,0,6
CallejasIltze,18,64,0,1
BibliotecasRBJ,1215,169,0,5
ivantoniop,201,917,0,1
Derechoyamb,1877,1854,0,3
ongawaETSII,279,183,0,1
ismarmar64,15,41,0,1
ADRIANSYSNET,1494,5001,0,1
LuisEParra78,6640,2916,0,1
jlgarciaortega,5041,1895,0,3
DorisHinojosa,56,443,0,1
Diego__Garcia,737,914,0,1
ACAN_EFE,12256,1953,0,1
propaem_sma,10337,92,0,2
Gas66mi,314,403,0,1
zapatarivillas,216,161,0,1
FOCOINPADE,252,440,1,0
EvansDrizzy,384,794,0,1
galogalarzad,483,80,0,1
RafaelSeizWWF,559,383,0,2
msilviaduarte,708,634,0,1
rprietoll,68,54,0,1
vorosoler,1237,770,0,1
arnauribot4,151,957,0,1
DianaPichardo26,57,92,0,1
MMCSRE,120,1552,0,1
montes_mnatural,5099,1419,0,1
LhuezoP,75,65,0,3
funtbi,36,104,0,1
fcogarcia3,35,136,0,1
MartiaOh,32,196,0,1
IguanaFix,1036,322,1,0
Agenda2030Peru,845,1809,1,2
Arasdeho,394,766,1,0
MITZICORTS,26,23,0,2
eberru1,62,73,0,1
ElenaVtweets,1167,1525,0,6
maribelton,608,720,0,1
gracegiober,233,283,0,1
sorayarr_,28425,2420,1,0
agostogabriela,1027,820,0,18
Cienciaib,1898,495,0,3
NievesPeguero,670,1069,0,1
RocioLeonAller,1963,1671,0,1
ASHES_TO_LIFE,572,1755,2,1
Mariela_rmora,2204,1616,0,1
orobres,1025,446,0,1
MasQueDigital_,15432,2369,0,1
CNPML,159,172,1,0
CCyEAAragon,313,227,0,2
RecibeV,6,93,0,1
ajorda,485,344,0,1
sonegares,52,152,0,1
AlmeidaArely,46,39,0,1
ferrome98607940,219,131,0,1
SgSisca,1716,1634,1,0
JuanJos56265795,22,111,0,3
MasterHomeResi,1322,2040,0,1
JulietaSanabr11,79,130,0,1
CosmoCaixa,56381,419,0,3
hsmiguel81,2090,2460,0,1
EmbCanArgentina,1922,17,1,0
Addkeen,815,1520,0,2
BoletusEdulius,4214,5001,0,1
z_escala,17,57,0,2
Regmurcialimpia,5124,4062,2,1
evinuezav,3,12,0,1
CeciliaMichea,532,2122,0,1
Marigcr2,28,57,0,4
FEACEM,906,180,0,4
Muni_Indep,11082,1547,0,1
elenan34,202,82,0,1
JorgeGBT,137,169,0,2
David_CCSS,1151,1234,0,1
climaticotierra,117,222,0,1
earres,7970,5247,0,1
KareenBogado,381,374,0,1
CyNsiempre,58984,59672,0,1
TurkiAntof,6364,6316,0,2
rkcerezo,170,154,0,1
NaturaGto,297,266,0,1
Angelsduranr,387,1396,0,1
Maikel59766038,73,87,0,2
RedAprender,244,513,0,1
JaniceJezabel,357,1038,0,1
sostenibilidad,6313,574,1,0
Mangelespc,843,1974,0,1
deutsher1970cas,121,59,0,1
areperatogo,104,397,0,7
AnaMara64210120,1,78,0,1
marco_agripa,220,365,0,2
marianitapio,356,926,1,1
noe_2n,126,455,0,1
JESUSMACAB,14,61,0,1
ferluis_97,395,821,0,2
Javierg30271209,1071,2945,0,1
macamila_4,72,130,0,1
racostalugo,709,5000,0,1
patsociologia,263,1494,0,1
chemalorenzo1,1638,953,0,1
izaguirrejk,514,825,1,3
agustorne,721,1538,0,1
CHerreroG,44,88,0,1
Javiermonterio2,2001,900,0,1
pjclementem,400,202,0,1
car8189737,127,1029,0,1
LopezErliana,1065,1979,0,3
unescoetxea,1978,711,1,1
BibliotecaCEPAL,5295,1262,2,1
MarCano_InEdu,381,859,1,0
bibliotecaetsit,1920,570,0,1
GreenSquad7,111,446,0,7
BorisSoria3,60,111,0,1
NaturalVoyager,3096,3568,1,2
tiburazul,1247,1595,0,1
gecatolico,180,469,0,1
DeboM89,70,65,0,3
estebanarasi,2301,3483,0,1
LidiaPila,14,17,0,1
CentroCien,8,31,2,0
PVSCV,1160,739,1,0
RadioViajera,4451,2002,2,0
GabriellaFarfan,417,477,0,1
noemitorollo,156,257,11,1
equotorrejon,322,446,0,2
untoquedeluzrd,3,36,1,0
_Ortiz_Maria,666,719,0,1
MtroDelRosarioJ,1105,481,0,2
anfequiMex,22,62,0,1
AndresRavelo4,21,49,0,1
JBiviana,412,591,0,1
GloriaAguirreA,61,275,0,1
danitar83,1039,2401,0,2
Fuliski,1208,3516,0,1
ahimsaluna,317,1600,0,1
ProfeLuciiano1,324,1483,0,1
CCiudadanaEs,2047,1093,4,5
auroradeblasc,152,255,0,1
BlandinoRoger,651,148,0,1
CeballosAngelic,119,428,0,1
traviesallera,688,975,0,1
Fabiola_Colin1,67,501,0,1
pedronunez1976,273,263,0,2
nelitaguz,584,255,0,1
robertotello11,1102,1472,2,1
lauvidales,1945,1267,0,1
KCendik,703,2186,0,1
martag1477,130,99,0,3
ANDEUruguay,2513,75,3,1
Maytwo_,1329,307,0,1
MangelsCF,469,1044,0,1
MConstituciones,1750,293,1,0
TELLEZJAN,104,157,0,1
HerceLado,100,609,0,1
rarenfl,296,195,0,1
Kastoro_sas,265,789,0,1
AlumniDBA,1752,855,0,1
salas_mercedes,1675,1018,0,1
Armandcarrasc,222,223,1,0
IEOVigo,1436,707,0,2
massad1,2719,4986,0,1
dohmann_romario,10,74,1,0
stellamarisoli4,247,221,0,1
PaolaHerreraCu,207,150,0,1
ObrasPublicasEc,134533,1073,0,1
laleonlopez,918,501,0,1
CarmenPlanas,1869,793,0,1
ddu_10,1702,851,6,3
SocoLopzC,201,350,0,2
villaguer11,6902,6318,0,1
manuelcadc,141,386,0,1
kafiat,3006,3320,0,3
VicpastranaStg,26,43,0,1
CfceMontevideo,106,206,1,0
EsmeraldaClavij,68,145,0,1
biovalor,131,55,0,1
Hersotca,263,556,0,1
AlfonsoPuncel,1085,2391,0,1
Christianorell5,161,144,0,1
NoeZG,50,156,0,1
Cecabank_es,1190,280,2,0
Saltamontes_eco,1307,251,0,1
meretecol,1038,3514,0,2
PaOoBolCa,25,199,0,1
juanmagilts,640,301,0,2
Natalia_Lfl,941,769,0,1
art_ist_love,240,334,0,2
OPEECanarias,986,489,0,1
rbarralesr,1409,1418,0,1
exeguatemala,2218,1171,0,1
CooperacioU,21,30,0,1
agrupacionlbm,395,684,0,1
AlexCar15384461,28,42,0,1
portalento_,12860,1191,0,1
JOHNSCADE,1142,632,3,0
PabloFSSCCOO,746,762,0,1
linaholguin,868,1004,0,2
KrolFajardo,2939,919,0,2
MmansillaMunoz,40,253,0,1
manuelgpascual,2738,3466,0,1
RankiaPro,821,1429,2,0
GABentancur,37,165,0,1
Nerepet,191,473,0,1
LepezC,611,2760,0,1
gabykaliope,14,91,0,1
carlosgermangar,189,1073,0,1
NereaDavo,155,241,0,1
jovenesyods,373,274,1,2
PaolaIbanez,62,80,0,1
NitaShiva,605,2430,0,1
estancich,1497,314,1,1
lacatedra,666,476,0,2
SoyGuerquito,358,185,2,1
Improvechange,1855,739,11,1
AAManjon,1047,1846,0,1
CeipMelquiades,127,54,0,2
urbanohumano,16326,4117,0,2
Edisongonzalezr,15,119,3,0
pabelml,50612,1249,0,1
DGobiernoCV,4565,521,0,4
RossBencosme,31,437,0,3
Coop_lajuanita,2057,339,0,1
