location,count
Desconocido,5880
España,5548
Colombia,1080
Mexico,1034
Argentina,800
Ecuador,604
Republica Dominicana,374
Chile,277
Panama,271
Venezuela,263
Uruguay,255
Peru,156
El Salvador,144
Paraguay,103
Estados Unidos,80
Bolivia,61
Alemania,34
Guatemala,30
Costa Rica,26
Canada,23
Honduras,15
Suiza,12
Francia,11
