hora,count
0,409
5,185
10,678
14,981
20,739
1,483
6,282
21,725
9,742
13,986
2,398
17,860
22,644
12,1023
7,343
3,325
18,789
16,871
11,798
23,538
8,515
19,803
4,227
15,880
